"","section","subsection","title","abstract","url","byline","item_type","updated_date","created_date","published_date","material_type_facet","kicker","multimedia.url","multimedia.format","multimedia.height","multimedia.width","multimedia.type","multimedia.subtype","multimedia.caption","multimedia.copyright","multimedia.url.1","multimedia.format.1","multimedia.height.1","multimedia.width.1","multimedia.type.1","multimedia.subtype.1","multimedia.caption.1","multimedia.copyright.1","multimedia.url.2","multimedia.format.2","multimedia.height.2","multimedia.width.2","multimedia.type.2","multimedia.subtype.2","multimedia.caption.2","multimedia.copyright.2","multimedia.url.3","multimedia.format.3","multimedia.height.3","multimedia.width.3","multimedia.type.3","multimedia.subtype.3","multimedia.caption.3","multimedia.copyright.3","multimedia.url.4","multimedia.format.4","multimedia.height.4","multimedia.width.4","multimedia.type.4","multimedia.subtype.4","multimedia.caption.4","multimedia.copyright.4","short_url","stringsAsFactor","des_facet","per_facet","des_facet1","des_facet2","des_facet3","des_facet4","org_facet1","org_facet2","per_facet1","per_facet2","geo_facet","geo_facet1","geo_facet2","org_facet","per_facet3","per_facet4","per_facet5","per_facet6","per_facet7","des_facet5","des_facet6","des_facet7","des_facet8","geo_facet3","geo_facet4","geo_facet5","org_facet3","des_facet9","des_facet10","des_facet11","des_facet12","org_facet4","org_facet5","org_facet6","org_facet7","per_facet8","per_facet9","per_facet10","per_facet11","geo_facet6"
"176","N.Y. / Region","","Turbo-Charging His Life After Losing His Mother","When his mother died, Atreyal Ransom lost interest in school. But he got back on track, becoming valedictorian of his class and a volunteer at a community center.","https://www.nytimes.com/2017/10/22/nyregion/turbo-charging-his-life-after-losing-his-mother.html","By EMILY PALMER","Article","2017-10-22T10:39:23-04:00","2017-10-22T10:39:23-04:00","2017-10-22T10:39:23-04:00","","","https://static01.nyt.com/images/2017/09/29/nyregion/00ncf-ransom3/00ncf-ransom3-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Atreyal Ransom, 19, struggled in school after his mother died. He worked to catch up and graduated as valedictorian of his class in June.","Michael Noble Jr. for The New York Times","https://static01.nyt.com/images/2017/09/29/nyregion/00ncf-ransom3/00ncf-ransom3-thumbLarge.jpg","thumbLarge","150","150","image","photo","Atreyal Ransom, 19, struggled in school after his mother died. He worked to catch up and graduated as valedictorian of his class in June.","Michael Noble Jr. for The New York Times","https://static01.nyt.com/images/2017/09/29/nyregion/00ncf-ransom3/00ncf-ransom3-articleInline.jpg","Normal","136","190","image","photo","Atreyal Ransom, 19, struggled in school after his mother died. He worked to catch up and graduated as valedictorian of his class in June.","Michael Noble Jr. for The New York Times","https://static01.nyt.com/images/2017/09/29/nyregion/00ncf-ransom3/00ncf-ransom3-mediumThreeByTwo210-v2.jpg","mediumThreeByTwo210","140","210","image","photo","Atreyal Ransom, 19, struggled in school after his mother died. He worked to catch up and graduated as valedictorian of his class in June.","Michael Noble Jr. for The New York Times","https://static01.nyt.com/images/2017/09/29/nyregion/00ncf-ransom3/00ncf-ransom3-superJumbo.jpg","superJumbo","1367","2048","image","photo","Atreyal Ransom, 19, struggled in school after his mother died. He worked to catch up and graduated as valedictorian of his class in June.","Michael Noble Jr. for The New York Times","https://nyti.ms/2h0tz3I",FALSE,"Philanthropy",NA,NA,NA,NA,NA,"New York Times Neediest Cases Fund","Brooklyn Community Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","U.S.","Politics","New York Officials Fear Closing of U.S. Lab Combating Biological Threats","The Trump administration has proposed closing the National Urban Security Technology Laboratory as part of larger cuts it envisions for the Department of Homeland Security.","https://www.nytimes.com/2017/10/22/us/politics/national-urban-security-technology-laboratory.html","By RON NIXON","Article","2017-10-22T20:28:30-04:00","2017-10-22T11:39:01-04:00","2017-10-22T11:39:01-04:00","","","https://static01.nyt.com/images/2017/10/23/us/23dc-lab/23dc-lab-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","The Trump administration has proposed closing a a New York-based laboratory as part of larger cuts it envisions for the Department of Homeland Security’s scientific research and development programs.","Hyungwon Kang/Reuters","https://static01.nyt.com/images/2017/10/23/us/23dc-lab/23dc-lab-thumbLarge.jpg","thumbLarge","150","150","image","photo","The Trump administration has proposed closing a a New York-based laboratory as part of larger cuts it envisions for the Department of Homeland Security’s scientific research and development programs.","Hyungwon Kang/Reuters","https://static01.nyt.com/images/2017/10/23/us/23dc-lab/23dc-lab-articleInline.jpg","Normal","127","190","image","photo","The Trump administration has proposed closing a a New York-based laboratory as part of larger cuts it envisions for the Department of Homeland Security’s scientific research and development programs.","Hyungwon Kang/Reuters","https://static01.nyt.com/images/2017/10/23/us/23dc-lab/23dc-lab-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The Trump administration has proposed closing a a New York-based laboratory as part of larger cuts it envisions for the Department of Homeland Security’s scientific research and development programs.","Hyungwon Kang/Reuters","https://static01.nyt.com/images/2017/10/23/us/23dc-lab/23dc-lab-superJumbo.jpg","superJumbo","1365","2048","image","photo","The Trump administration has proposed closing a a New York-based laboratory as part of larger cuts it envisions for the Department of Homeland Security’s scientific research and development programs.","Hyungwon Kang/Reuters","https://nyti.ms/2gYZtOf",FALSE,NA,NA,"Laboratories and Scientific Equipment","Terrorism","United States Politics and Government",NA,NA,NA,NA,NA,"New York City",NA,NA,"Homeland Security Department",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","N.Y. / Region","","He Came Out of Nowhere","A helpful young man rides onto the block on a skateboard.","https://www.nytimes.com/2017/10/22/nyregion/metropolitan-diary-he-came-out-of-nowhere.html","By CARYL EHRLICH","Article","2017-10-22T18:00:00-04:00","2017-10-22T18:00:00-04:00","2017-10-22T18:00:00-04:00","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://nyti.ms/2h0wGbX",FALSE,"Skateboarding",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Second Avenue (Manhattan, NY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Real Estate","","Can a Neighbor Keep Flowerpots on a Fire Escape?","Plants on the fire escape and window ledges cause strife.","https://www.nytimes.com/2017/10/22/realestate/can-a-neighbor-keep-flowerpots-on-a-fire-escape.html","By RONDA KAYSEN","Article","2017-10-22T08:10:54-04:00","2017-10-22T08:10:54-04:00","2017-10-22T08:10:54-04:00","","","https://static01.nyt.com/images/2017/10/22/realestate/22ASK/22ASK-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","Justine Wong","https://static01.nyt.com/images/2017/10/22/realestate/22ASK/22ASK-thumbLarge.jpg","thumbLarge","150","150","image","photo","","Justine Wong","https://static01.nyt.com/images/2017/10/22/realestate/22ASK/22ASK-articleInline.jpg","Normal","36","190","image","photo","","Justine Wong","https://static01.nyt.com/images/2017/10/22/realestate/22ASK/22ASK-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","Justine Wong","https://static01.nyt.com/images/2017/10/22/realestate/22ASK/22ASK-superJumbo.jpg","superJumbo","299","1575","image","photo","","Justine Wong","https://nyti.ms/2gYBuhX",FALSE,NA,NA,"Real Estate and Housing (Residential)","Fires and Firefighters",NA,NA,NA,NA,NA,NA,"Morningside Heights (Manhattan, NY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Business Day","Economy","Where Internet Orders Mean Real Jobs, and New Life for Communities","Vast warehouses are being built, fueling a demand for lower-skilled workers and reviving areas that once relied on manufacturing.","https://www.nytimes.com/2017/10/22/business/economy/warehouse-jobs.html","By NATALIE KITROEFF","Article","2017-10-22T20:38:52-04:00","2017-10-22T20:38:52-04:00","2017-10-22T20:38:52-04:00","","","https://static01.nyt.com/images/2017/10/14/business/00WAREHOUSE-7/00WAREHOUSE-7-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Omar Pellot heading into work at Amazon, where he found opportunity despite a troubled past that had been a barrier elsewhere.","Sam Hodgson for The New York Times","https://static01.nyt.com/images/2017/10/14/business/00WAREHOUSE-7/00WAREHOUSE-7-thumbLarge.jpg","thumbLarge","150","150","image","photo","Omar Pellot heading into work at Amazon, where he found opportunity despite a troubled past that had been a barrier elsewhere.","Sam Hodgson for The New York Times","https://static01.nyt.com/images/2017/10/14/business/00WAREHOUSE-7/00WAREHOUSE-7-articleInline.jpg","Normal","125","190","image","photo","Omar Pellot heading into work at Amazon, where he found opportunity despite a troubled past that had been a barrier elsewhere.","Sam Hodgson for The New York Times","https://static01.nyt.com/images/2017/10/14/business/00WAREHOUSE-7/00WAREHOUSE-7-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Omar Pellot heading into work at Amazon, where he found opportunity despite a troubled past that had been a barrier elsewhere.","Sam Hodgson for The New York Times","https://static01.nyt.com/images/2017/10/14/business/00WAREHOUSE-7/00WAREHOUSE-7-superJumbo.jpg","superJumbo","1365","2048","image","photo","Omar Pellot heading into work at Amazon, where he found opportunity despite a troubled past that had been a barrier elsewhere.","Sam Hodgson for The New York Times","https://nyti.ms/2h1pAE2",FALSE,NA,NA,"Labor and Jobs","E-Commerce","United States Economy","Delivery Services",NA,NA,NA,NA,"Bethlehem (Pa)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Business Day","Media","A Long-Delayed Reckoning of the Cost of Silence on Abuse","One reason we’re just hearing about harassment claims against Harvey Weinstein and Bill O’Reilly has to do with nondisclosure agreements signed by the accusers.","https://www.nytimes.com/2017/10/22/business/media/a-long-delayed-reckoning-of-the-cost-of-silence-on-abuse.html","By JIM RUTENBERG","Article","2017-10-22T21:06:05-04:00","2017-10-22T21:06:04-04:00","2017-10-22T21:06:04-04:00","","","https://static01.nyt.com/images/2017/10/23/business/23rutenberg1/23rutenberg1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Harvey Weinstein, left, and Bill O’Reilly.","Richard Shotwell/Invision, via Associated Press, left; Andy Kropa/Invision, via Associated Press","https://static01.nyt.com/images/2017/10/23/business/23rutenberg1/23rutenberg1-thumbLarge.jpg","thumbLarge","150","150","image","photo","Harvey Weinstein, left, and Bill O’Reilly.","Richard Shotwell/Invision, via Associated Press, left; Andy Kropa/Invision, via Associated Press","https://static01.nyt.com/images/2017/10/23/business/23rutenberg1/23rutenberg1-articleInline.jpg","Normal","127","190","image","photo","Harvey Weinstein, left, and Bill O’Reilly.","Richard Shotwell/Invision, via Associated Press, left; Andy Kropa/Invision, via Associated Press","https://static01.nyt.com/images/2017/10/23/business/23rutenberg1/23rutenberg1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Harvey Weinstein, left, and Bill O’Reilly.","Richard Shotwell/Invision, via Associated Press, left; Andy Kropa/Invision, via Associated Press","https://static01.nyt.com/images/2017/10/23/business/23rutenberg1/23rutenberg1-superJumbo.jpg","superJumbo","1365","2048","image","photo","Harvey Weinstein, left, and Bill O’Reilly.","Richard Shotwell/Invision, via Associated Press, left; Andy Kropa/Invision, via Associated Press","https://nyti.ms/2gZxnm3",FALSE,NA,NA,"Sexual Harassment","Freedom of the Press","Suits and Litigation (Civil)",NA,NA,NA,"O'Reilly, Bill","Allred, Gloria",NA,NA,NA,NA,"Weinstein, Harvey","Cosby, Bill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Business Day","","Tesla Plant in China May Be a First","Tesla is said to be moving closer to becoming the first foreign car company to have a wholly owned manufacturing operation in the country.","https://www.nytimes.com/2017/10/22/business/tesla-plant-in-china-may-be-a-first.html","By KEITH BRADSHER and NATALIE KITROEFF","Article","2017-10-22T21:11:10-04:00","2017-10-22T21:11:10-04:00","2017-10-22T21:11:10-04:00","","","https://static01.nyt.com/images/2017/10/23/business/00TESLACHINA/00TESLACHINA-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","A Tesla car at a charging station in Beijing.","Thomas Peter/Reuters","https://static01.nyt.com/images/2017/10/23/business/00TESLACHINA/00TESLACHINA-thumbLarge.jpg","thumbLarge","150","150","image","photo","A Tesla car at a charging station in Beijing.","Thomas Peter/Reuters","https://static01.nyt.com/images/2017/10/23/business/00TESLACHINA/00TESLACHINA-articleInline.jpg","Normal","127","190","image","photo","A Tesla car at a charging station in Beijing.","Thomas Peter/Reuters","https://static01.nyt.com/images/2017/10/23/business/00TESLACHINA/00TESLACHINA-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","A Tesla car at a charging station in Beijing.","Thomas Peter/Reuters","https://static01.nyt.com/images/2017/10/23/business/00TESLACHINA/00TESLACHINA-superJumbo.jpg","superJumbo","1366","2048","image","photo","A Tesla car at a charging station in Beijing.","Thomas Peter/Reuters","https://nyti.ms/2zuxjkW",FALSE,NA,NA,"International Trade and World Market","Automobiles","Electric and Hybrid Vehicles",NA,NA,NA,NA,NA,"China",NA,NA,"Tesla Motors Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Technology","","Tech Giants Are Paying Huge Salaries for Scarce A.I. Talent","Nearly all big tech companies have an artificial intelligence project, and they are willing to pay experts millions of dollars to help get it done.","https://www.nytimes.com/2017/10/22/technology/artificial-intelligence-experts-salaries.html","By CADE METZ","Article","2017-10-22T18:32:40-04:00","2017-10-22T14:53:12-04:00","2017-10-22T14:53:12-04:00","","","https://static01.nyt.com/images/2017/10/23/business/23TALENTWAR-1/00TALENTWAR-1-thumbStandard.jpg","Standard Thumbnail","75","75","image","illustration","","Christina Chung","https://static01.nyt.com/images/2017/10/23/business/23TALENTWAR-1/00TALENTWAR-1-thumbLarge.jpg","thumbLarge","150","150","image","illustration","","Christina Chung","https://static01.nyt.com/images/2017/10/23/business/23TALENTWAR-1/00TALENTWAR-1-articleInline.jpg","Normal","169","190","image","illustration","","Christina Chung","https://static01.nyt.com/images/2017/10/23/business/23TALENTWAR-1/00TALENTWAR-1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","illustration","","Christina Chung","https://static01.nyt.com/images/2017/10/23/business/23TALENTWAR-1/00TALENTWAR-1-superJumbo.jpg","superJumbo","2048","1294","image","illustration","","Christina Chung","https://nyti.ms/2ztsqZy",FALSE,NA,NA,"Artificial Intelligence","Wages and Salaries","Start-ups",NA,"Allen Institute for Artificial Intelligence","Facebook Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Google Inc",NA,NA,NA,NA,"Uber Technologies Inc",NA,NA,NA,NA,NA,NA,NA,NA
"184","Business Day","Media","O’Reilly Settled New Harassment Claim, Then Fox Renewed His Contract","In January, the Fox News host was said to have agreed to a $32 million settlement with a former network analyst, the largest of his known payouts.","https://www.nytimes.com/2017/10/21/business/media/bill-oreilly-sexual-harassment.html","By EMILY STEEL and MICHAEL S. SCHMIDT","Article","2017-10-22T03:54:30-04:00","2017-10-21T13:23:46-04:00","2017-10-21T13:23:46-04:00","","","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-thumbStandard-v2.jpg","Standard Thumbnail","75","75","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-thumbLarge-v2.jpg","thumbLarge","150","150","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-articleInline.jpg","Normal","127","190","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://static01.nyt.com/images/2017/10/23/business/22FOX-8/22FOX-8-superJumbo.jpg","superJumbo","1352","2027","image","photo","Bill O’Reilly at his studio in 2012. He was forced out of Fox News in April after public disclosure of five settlements related to harassment allegations against him.","Robert Wright for The New York Times","https://nyti.ms/2gXVd1j",FALSE,NA,"O'Reilly, Bill","Sexual Harassment","Workplace Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21st Century Fox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Business Day","","The Finger-Pointing at the Finance Firm TIAA","Ex-employees and whistle-blowers question whether the provider of investment advice to people in public and nonprofit jobs does put its customers first.","https://www.nytimes.com/2017/10/21/business/the-finger-pointing-at-the-finance-firm-tiaa.html","By GRETCHEN MORGENSON","Article","2017-10-22T15:29:03-04:00","2017-10-21T05:00:02-04:00","2017-10-21T05:00:02-04:00","","","https://static01.nyt.com/images/2017/10/22/business/22TIAAillo/22TIAAillo-thumbStandard.gif","Standard Thumbnail","75","75","image","photo","","Peter and Maria Hoey","https://static01.nyt.com/images/2017/10/22/business/22TIAAillo/22TIAAillo-thumbLarge.gif","thumbLarge","150","150","image","photo","","Peter and Maria Hoey","https://static01.nyt.com/images/2017/10/22/business/22TIAAillo/22TIAAillo-articleInline.jpg","Normal","107","190","image","photo","","Peter and Maria Hoey","https://static01.nyt.com/images/2017/10/22/business/22TIAAillo/22TIAAillo-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","Peter and Maria Hoey","https://static01.nyt.com/images/2017/10/22/business/22TIAAillo/22TIAAillo-superJumbo.gif","superJumbo","618","1024","image","photo","","Peter and Maria Hoey","https://nyti.ms/2zpP5FW",FALSE,NA,"Ferguson, Roger W Jr","Retirement","Stocks and Bonds","Banking and Financial Institutions","Suits and Litigation (Civil)",NA,NA,NA,NA,NA,NA,NA,"TIAA",NA,NA,NA,NA,NA,"Pensions and Retirement Plans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Business Day","Media","At BuzzFeed, a Pivot to Movies and Television","Matthew Henick, a onetime teenage ringtone magnate, is leading the company away from popular shorts toward deals with production studios.","https://www.nytimes.com/2017/10/22/business/media/at-buzzfeed-a-pivot-to-movies-and-television.html","By SYDNEY EMBER","Article","2017-10-22T16:26:09-04:00","2017-10-22T16:26:09-04:00","2017-10-22T16:26:09-04:00","","","https://static01.nyt.com/images/2017/10/21/business/23HENICK-1/23HENICK-1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","The studios of BuzzFeed Motion Pictures, which are being built in Hollywood.","David Walter Banks for The New York Times","https://static01.nyt.com/images/2017/10/21/business/23HENICK-1/23HENICK-1-thumbLarge.jpg","thumbLarge","150","150","image","photo","The studios of BuzzFeed Motion Pictures, which are being built in Hollywood.","David Walter Banks for The New York Times","https://static01.nyt.com/images/2017/10/21/business/23HENICK-1/23HENICK-1-articleInline.jpg","Normal","143","190","image","photo","The studios of BuzzFeed Motion Pictures, which are being built in Hollywood.","David Walter Banks for The New York Times","https://static01.nyt.com/images/2017/10/21/business/23HENICK-1/23HENICK-1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The studios of BuzzFeed Motion Pictures, which are being built in Hollywood.","David Walter Banks for The New York Times","https://static01.nyt.com/images/2017/10/21/business/23HENICK-1/23HENICK-1-superJumbo.jpg","superJumbo","1537","2048","image","photo","The studios of BuzzFeed Motion Pictures, which are being built in Hollywood.","David Walter Banks for The New York Times","https://nyti.ms/2gZ4pT8",FALSE,NA,NA,"Computers and the Internet","Movies","Television",NA,NA,NA,"Henick, Matthew","Peretti, Jonah H",NA,NA,NA,"BuzzFeed Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Business Day","Media","With Literary Support, Xerox Asserts Its Modern Relevance","Xerox, in collaboration with the 92nd Street Y, gathered essays from writers like Gary Shteyngart and Joyce Carol Oates to help reinforce its role in the workplace.","https://www.nytimes.com/2017/10/22/business/media/xerox-writers-92nd-street-y.html","By MATT KRUPNICK","Article","2017-10-22T18:54:41-04:00","2017-10-22T17:36:40-04:00","2017-10-22T17:36:40-04:00","","","https://static01.nyt.com/images/2017/10/23/business/23ADCO3/23ADCO3-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","The author Gary Shteyngart used a voice-activated printer to write his essay for Xerox’s “Set the Page Free” project.","Kaitlin Parry","https://static01.nyt.com/images/2017/10/23/business/23ADCO3/23ADCO3-thumbLarge.jpg","thumbLarge","150","150","image","photo","The author Gary Shteyngart used a voice-activated printer to write his essay for Xerox’s “Set the Page Free” project.","Kaitlin Parry","https://static01.nyt.com/images/2017/10/23/business/23ADCO3/23ADCO3-articleInline.jpg","Normal","141","190","image","photo","The author Gary Shteyngart used a voice-activated printer to write his essay for Xerox’s “Set the Page Free” project.","Kaitlin Parry","https://static01.nyt.com/images/2017/10/23/business/23ADCO3/23ADCO3-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The author Gary Shteyngart used a voice-activated printer to write his essay for Xerox’s “Set the Page Free” project.","Kaitlin Parry","https://static01.nyt.com/images/2017/10/23/business/23ADCO3/23ADCO3-superJumbo.jpg","superJumbo","1521","2048","image","photo","The author Gary Shteyngart used a voice-activated printer to write his essay for Xerox’s “Set the Page Free” project.","Kaitlin Parry","https://nyti.ms/2h0qUaz",FALSE,NA,NA,"Advertising and Marketing","Workplace Environment","Writing and Writers",NA,"Xerox Corporation","Ninety-Second Street Y","Shteyngart, Gary","Oates, Joyce Carol",NA,NA,NA,NA,"Schwartz, Bernard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Business Day","","Giving Away Billions as Fast as They Can","A new crop of mega-philanthropists — from Soros to Gates to Koch — eclipses old guard, changes the rules and courts controversy.","https://www.nytimes.com/2017/10/20/business/soros-charity-zuckerberg-gates.html","By DAVID GELLES","Article","2017-10-22T12:11:23-04:00","2017-10-20T14:57:45-04:00","2017-10-20T14:57:45-04:00","","","https://static01.nyt.com/images/2017/10/22/business/22GIVING-GRID2/22GIVING-GRID2-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Clockwise from top left, George Soros, Bill Gates, Mark Zuckerberg, Henry Ford, John D. Rockefeller and Andrew Carnegie.","Joshua Bright for The New York Times; Yana Paskova/Getty Images; Jim Wilson/The New York Times; Ford Motor Company; Associated Press and Underwood & Underwood","https://static01.nyt.com/images/2017/10/22/business/22GIVING-GRID2/22GIVING-GRID2-thumbLarge.jpg","thumbLarge","150","150","image","photo","Clockwise from top left, George Soros, Bill Gates, Mark Zuckerberg, Henry Ford, John D. Rockefeller and Andrew Carnegie.","Joshua Bright for The New York Times; Yana Paskova/Getty Images; Jim Wilson/The New York Times; Ford Motor Company; Associated Press and Underwood & Underwood","https://static01.nyt.com/images/2017/10/22/business/22GIVING-GRID2/22GIVING-GRID2-articleInline.jpg","Normal","127","190","image","photo","Clockwise from top left, George Soros, Bill Gates, Mark Zuckerberg, Henry Ford, John D. Rockefeller and Andrew Carnegie.","Joshua Bright for The New York Times; Yana Paskova/Getty Images; Jim Wilson/The New York Times; Ford Motor Company; Associated Press and Underwood & Underwood","https://static01.nyt.com/images/2017/10/22/business/22GIVING-GRID2/22GIVING-GRID2-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Clockwise from top left, George Soros, Bill Gates, Mark Zuckerberg, Henry Ford, John D. Rockefeller and Andrew Carnegie.","Joshua Bright for The New York Times; Yana Paskova/Getty Images; Jim Wilson/The New York Times; Ford Motor Company; Associated Press and Underwood & Underwood","https://static01.nyt.com/images/2017/10/22/business/22GIVING-GRID2/22GIVING-GRID2-superJumbo.jpg","superJumbo","1365","2048","image","photo","Clockwise from top left, George Soros, Bill Gates, Mark Zuckerberg, Henry Ford, John D. Rockefeller and Andrew Carnegie.","Joshua Bright for The New York Times; Yana Paskova/Getty Images; Jim Wilson/The New York Times; Ford Motor Company; Associated Press and Underwood & Underwood","https://nyti.ms/2gVnkOX",FALSE,NA,NA,"Philanthropy","High Net Worth Individuals",NA,NA,"Open Society Foundations","Chan Zuckerberg Initiative LLC","Soros, George","Zuckerberg, Mark E",NA,NA,NA,NA,"Chan, Priscilla","Gates, Bill","Bloomberg, Michael R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gates, Bill and Melinda, Foundation",NA,NA,NA,NA,"Bloomberg Philanthropies",NA,NA,NA,NA,NA,NA,NA,NA
"189","Business Day","","A Showdown Brews Between Amazon and Alibaba, Far From Home","The e-commerce giants are spending billions in new markets like Southeast Asia and India to tap a rising new class of young, middle-class shoppers.","https://www.nytimes.com/2017/10/22/business/alibaba-amazon-southeast-asia-lazada.html","By JANE A. PETERSON","Article","2017-10-22T14:48:26-04:00","2017-10-22T14:48:26-04:00","2017-10-22T14:48:26-04:00","","","https://static01.nyt.com/images/2017/09/30/business/00seasia-lazada1/00seasia-lazada1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","The RedMart warehouse in Singapore. The online grocery is part of Alibaba’s push into Southeast Asia.","Lauryn Ishak for The New York Times","https://static01.nyt.com/images/2017/09/30/business/00seasia-lazada1/00seasia-lazada1-thumbLarge.jpg","thumbLarge","150","150","image","photo","The RedMart warehouse in Singapore. The online grocery is part of Alibaba’s push into Southeast Asia.","Lauryn Ishak for The New York Times","https://static01.nyt.com/images/2017/09/30/business/00seasia-lazada1/00seasia-lazada1-articleInline.jpg","Normal","127","190","image","photo","The RedMart warehouse in Singapore. The online grocery is part of Alibaba’s push into Southeast Asia.","Lauryn Ishak for The New York Times","https://static01.nyt.com/images/2017/09/30/business/00seasia-lazada1/00seasia-lazada1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The RedMart warehouse in Singapore. The online grocery is part of Alibaba’s push into Southeast Asia.","Lauryn Ishak for The New York Times","https://static01.nyt.com/images/2017/09/30/business/00seasia-lazada1/00seasia-lazada1-superJumbo.jpg","superJumbo","1365","2048","image","photo","The RedMart warehouse in Singapore. The online grocery is part of Alibaba’s push into Southeast Asia.","Lauryn Ishak for The New York Times","https://nyti.ms/2h0KJOR",FALSE,"E-Commerce",NA,NA,NA,NA,NA,"Alibaba Group Holding Ltd","Amazon.com Inc",NA,NA,"Far East, South and Southeast Asia and Pacific Areas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
